,datetime,nat_demand,date,newdate,newtime,y,m,d
241,2015-01-13 02:00:00,932.9905,2015-01-13 02:00:00,2015-01-13,02:00:00,2015,1,13
242,2015-01-13 03:00:00,914.5482,2015-01-13 03:00:00,2015-01-13,03:00:00,2015,1,13
243,2015-01-13 04:00:00,890.0387,2015-01-13 04:00:00,2015-01-13,04:00:00,2015,1,13
244,2015-01-13 05:00:00,898.9312,2015-01-13 05:00:00,2015-01-13,05:00:00,2015,1,13
245,2015-01-13 06:00:00,938.52,2015-01-13 06:00:00,2015-01-13,06:00:00,2015,1,13
246,2015-01-13 07:00:00,1032.0544,2015-01-13 07:00:00,2015-01-13,07:00:00,2015,1,13
247,2015-01-13 08:00:00,1231.2967,2015-01-13 08:00:00,2015-01-13,08:00:00,2015,1,13
248,2015-01-13 09:00:00,1342.1865,2015-01-13 09:00:00,2015-01-13,09:00:00,2015,1,13
249,2015-01-13 10:00:00,1400.6246,2015-01-13 10:00:00,2015-01-13,10:00:00,2015,1,13
250,2015-01-13 11:00:00,1418.5336,2015-01-13 11:00:00,2015-01-13,11:00:00,2015,1,13
251,2015-01-13 12:00:00,1399.3289,2015-01-13 12:00:00,2015-01-13,12:00:00,2015,1,13
252,2015-01-13 13:00:00,1431.8609,2015-01-13 13:00:00,2015-01-13,13:00:00,2015,1,13
253,2015-01-13 14:00:00,1434.055,2015-01-13 14:00:00,2015-01-13,14:00:00,2015,1,13
254,2015-01-13 15:00:00,1410.4219,2015-01-13 15:00:00,2015-01-13,15:00:00,2015,1,13
255,2015-01-13 16:00:00,1343.8872,2015-01-13 16:00:00,2015-01-13,16:00:00,2015,1,13
256,2015-01-13 17:00:00,1226.8784,2015-01-13 17:00:00,2015-01-13,17:00:00,2015,1,13
257,2015-01-13 18:00:00,1230.8641,2015-01-13 18:00:00,2015-01-13,18:00:00,2015,1,13
