id,name,new_date,new_datetime,hour,demand_kWh,supply_kWh
351,TESTING,2021-12-09,2021-12-09 06:03:24,6,0.49,0
352,TBat,2021-12-09,2021-12-09 06:03:24,6,212.85,-186685.33
353,APST,2021-12-09,2021-12-09 06:03:24,6,0.75,0
354,350kW,2021-12-09,2021-12-09 07:03:24,7,0,0
355,NDIR-SERT,2021-12-09,2021-12-09 07:03:24,7,4.5,0
356,SIMINAR,2021-12-09,2021-12-09 07:03:24,7,0.02,0
357,120kW,2021-12-09,2021-12-09 07:03:24,7,0,0
358,SGTECH,2021-12-09,2021-12-09 07:03:24,7,0.43,0
359,TESTING,2021-12-09,2021-12-09 07:03:24,7,0.18,0
360,SEPCON LAB,2021-12-09,2021-12-09 07:03:24,7,0.71,0
361,TBat,2021-12-09,2021-12-09 07:03:24,7,-212.85,186685.33
362,APST,2021-12-09,2021-12-09 07:03:24,7,1.35,0
363,SIMINAR,2021-12-09,2021-12-09 08:03:24,8,0.02,0
364,350kW,2021-12-09,2021-12-09 08:03:24,8,0,9
365,SGTECH,2021-12-09,2021-12-09 08:03:24,8,0.81,0
366,120kW,2021-12-09,2021-12-09 08:03:24,8,0,2.58
367,NDIR-SERT,2021-12-09,2021-12-09 08:03:24,8,3.61,0
368,SEPCON LAB,2021-12-09,2021-12-09 08:03:24,8,0.6,0
369,TBat,2021-12-09,2021-12-09 08:03:24,8,0,5.4
370,APST,2021-12-09,2021-12-09 08:03:24,8,2.67,0
371,TESTING,2021-12-09,2021-12-09 08:03:24,8,0.18,0
372,NDIR-SERT,2021-12-09,2021-12-09 09:03:24,9,2.43,0.73
373,SIMINAR,2021-12-09,2021-12-09 09:03:24,9,0.18,0
374,350kW,2021-12-09,2021-12-09 09:03:24,9,0,41.5
375,120kW,2021-12-09,2021-12-09 09:03:24,9,0,11.44
376,SEPCON LAB,2021-12-09,2021-12-09 09:03:24,9,0.62,0
377,TESTING,2021-12-09,2021-12-09 09:03:24,9,0.18,0
378,SGTECH,2021-12-09,2021-12-09 09:03:24,9,3.88,0
379,APST,2021-12-09,2021-12-09 09:03:24,9,11.44,0
380,TBat,2021-12-09,2021-12-09 09:03:24,9,212.85,-186690.73
381,350kW,2021-12-09,2021-12-09 10:03:24,10,0,94.54
382,NDIR-SERT,2021-12-09,2021-12-09 10:03:24,10,4.54,0.91
383,SIMINAR,2021-12-09,2021-12-09 10:03:24,10,1.38,0
384,120kW,2021-12-09,2021-12-09 10:03:24,10,0,24.09
385,SEPCON LAB,2021-12-09,2021-12-09 10:03:24,10,1.22,0
386,TESTING,2021-12-09,2021-12-09 10:03:24,10,0.24,0
387,TBat,2021-12-09,2021-12-09 10:03:24,10,0,0
388,SGTECH,2021-12-09,2021-12-09 10:03:24,10,4.26,0
389,APST,2021-12-09,2021-12-09 10:03:24,10,24.09,0
390,350kW,2021-12-09,2021-12-09 11:03:24,11,0,113.64
391,SIMINAR,2021-12-09,2021-12-09 11:03:24,11,1.84,0
392,SGTECH,2021-12-09,2021-12-09 11:03:24,11,6.05,0
393,SEPCON LAB,2021-12-09,2021-12-09 11:03:24,11,3.22,0
394,NDIR-SERT,2021-12-09,2021-12-09 11:03:24,11,4.71,0.86
395,120kW,2021-12-09,2021-12-09 11:03:24,11,0,30.08
396,TESTING,2021-12-09,2021-12-09 11:03:24,11,0.36,0
397,APST,2021-12-09,2021-12-09 11:03:24,11,30.08,0
398,TBat,2021-12-09,2021-12-09 11:03:24,11,-212.85,186965.59
399,350kW,2021-12-09,2021-12-09 12:03:24,12,0,98.02
400,SGTECH,2021-12-09,2021-12-09 12:03:24,12,7.15,0
401,NDIR-SERT,2021-12-09,2021-12-09 12:03:24,12,8.78,0.28
402,SIMINAR,2021-12-09,2021-12-09 12:03:24,12,2.14,0
403,SEPCON LAB,2021-12-09,2021-12-09 12:03:24,12,4.44,0
404,120kW,2021-12-09,2021-12-09 12:03:24,12,0,26.58
405,TESTING,2021-12-09,2021-12-09 12:03:24,12,13.13,0
406,APST,2021-12-09,2021-12-09 12:03:24,12,26.58,0
407,TBat,2021-12-09,2021-12-09 12:03:24,12,212.85,-186965.59
408,NDIR-SERT,2021-12-09,2021-12-09 13:03:24,13,5.63,0.72
409,350kW,2021-12-09,2021-12-09 13:03:24,13,0,118.52
410,SGTECH,2021-12-09,2021-12-09 13:03:24,13,6.69,0
411,SIMINAR,2021-12-09,2021-12-09 13:03:24,13,2.57,0
412,SEPCON LAB,2021-12-09,2021-12-09 13:03:24,13,4.79,0
413,120kW,2021-12-09,2021-12-09 13:03:24,13,0,32.47
414,TESTING,2021-12-09,2021-12-09 13:03:24,13,1.88,0
415,TBat,2021-12-09,2021-12-09 13:03:24,13,0,0
416,APST,2021-12-09,2021-12-09 13:03:24,13,32.47,0
417,120kW,2021-12-09,2021-12-09 14:03:24,14,0,36.95
418,SIMINAR,2021-12-09,2021-12-09 14:03:24,14,2.72,0
419,NDIR-SERT,2021-12-09,2021-12-09 14:03:24,14,5.91,0.27
420,350kW,2021-12-09,2021-12-09 14:03:24,14,0,124.01
421,SGTECH,2021-12-09,2021-12-09 14:03:24,14,8.87,0
422,TESTING,2021-12-09,2021-12-09 14:03:24,14,0.27,0
423,SEPCON LAB,2021-12-09,2021-12-09 14:03:24,14,6.15,0
424,APST,2021-12-09,2021-12-09 14:03:24,14,36.95,0
425,TBat,2021-12-09,2021-12-09 14:03:24,14,-212.85,187311.44
426,SIMINAR,2021-12-09,2021-12-09 15:03:24,15,2.68,0
427,NDIR-SERT,2021-12-09,2021-12-09 15:03:24,15,15.14,0
428,120kW,2021-12-09,2021-12-09 15:03:24,15,0,27.53
429,350kW,2021-12-09,2021-12-09 15:03:24,15,0,82.91
430,SGTECH,2021-12-09,2021-12-09 15:03:24,15,9.84,0
431,SEPCON LAB,2021-12-09,2021-12-09 15:03:24,15,6.84,0
432,TESTING,2021-12-09,2021-12-09 15:03:24,15,5.61,0
433,APST,2021-12-09,2021-12-09 15:03:24,15,27.53,0
434,TBat,2021-12-09,2021-12-09 15:03:24,15,212.85,-187311.44
435,120kW,2021-12-09,2021-12-09 16:03:24,16,0,18.93
436,SIMINAR,2021-12-09,2021-12-09 16:03:24,16,2.71,0
437,NDIR-SERT,2021-12-09,2021-12-09 16:03:24,16,22.61,0
